"season","team","wins","losses","ties","playoffs","game_type","probability_to_make_playoffs","off_epa","def_epa","total_epa"
2004,"JAX",9,7,0,0,NA,"43.96",-0.03192,-0.009561,-0.022359
2004,"KC",7,9,0,0,NA,"1.82",0.173901,0.131836,0.042065
2004,"MIA",4,12,0,0,NA,"0.01",-0.173323,-0.053856,-0.119467
2004,"MIN",8,8,0,1,"DIV","10.77",0.164417,0.107173,0.057244
2004,"NE",14,2,0,1,"CHMP","99.99",0.100227,-0.088929,0.189156
2004,"NO",8,8,0,0,NA,"10.77",-0.028704,0.063051,-0.091755
2004,"NYG",6,10,0,0,NA,"0.29",-0.02929,0.006852,-0.036142
2004,"NYJ",10,6,0,1,"DIV","83.60",0.036187,-0.046728,0.082915
2004,"OAK",5,11,0,0,NA,"0.04",NA,NA,NA
2004,"PHI",13,3,0,1,"SB","99.93",0.070114,-0.027447,0.097561
2004,"PIT",15,1,0,1,"CON","100.00",0.043308,-0.132116,0.175424
2004,"SD",12,4,0,1,"WC","99.54",NA,NA,NA
2004,"SEA",9,7,0,1,"WC","43.96",0.036138,0.001958,0.03418
2004,"SF",2,14,0,0,NA,"0.00",-0.154132,0.066645,-0.220777
2004,"STL",8,8,0,1,"DIV","10.77",NA,NA,NA
2004,"TB",5,11,0,0,NA,"0.04",-0.07434,-0.088069,0.013729
2004,"TEN",5,11,0,0,NA,"0.04",-0.012133,0.075593,-0.087726
2004,"WAS",6,10,0,0,NA,"0.29",-0.119438,-0.101592,-0.017846
2005,"ARI",5,11,0,0,NA,"0.04",-0.072793,-0.049163,-0.02363
2005,"ATL",8,8,0,0,NA,"10.77",-0.016335,-0.022044,0.005709
2005,"BAL",6,10,0,0,NA,"0.29",-0.108766,-0.087171,-0.021595
2005,"BUF",5,11,0,0,NA,"0.04",-0.082597,0.067966,-0.150563
2005,"CAR",11,5,0,1,"CON","97.07",0.010129,-0.11605,0.126179
2005,"CHI",11,5,0,1,"DIV","97.07",-0.137846,-0.166612,0.028766
2005,"CIN",11,5,0,1,"WC","97.07",0.102659,0.012534,0.090125
2005,"CLE",6,10,0,0,NA,"0.29",-0.132309,-0.004042,-0.128267
2005,"DAL",9,7,0,0,NA,"43.96",-0.0225,-0.049757,0.027257
2005,"DEN",13,3,0,1,"CON","99.93",0.089329,-0.051816,0.141145
2005,"DET",5,11,0,0,NA,"0.04",-0.101496,-0.019285,-0.082211
2005,"GB",4,12,0,0,NA,"0.01",-0.057725,-0.051677,-0.006048
2005,"HOU",2,14,0,0,NA,"0.00",-0.098675,0.117918,-0.216593
2005,"IND",14,2,0,1,"DIV","99.99",0.186968,-0.05956,0.246528
2005,"JAX",12,4,0,1,"WC","99.54",0.026977,-0.066421,0.093398
2005,"KC",10,6,0,0,NA,"83.60",0.09611,0.003625,0.092485
2005,"MIA",9,7,0,0,NA,"43.96",-0.040935,-0.030108,-0.010827
2005,"MIN",9,7,0,0,NA,"43.96",-0.073511,-0.028824,-0.044687
2005,"NE",10,6,0,1,"DIV","83.60",0.073993,0.032605,0.041388
2005,"NO",3,13,0,0,NA,"0.00",-0.096728,0.032451,-0.129179
2005,"NYG",11,5,0,1,"WC","97.07",0.042417,-0.047812,0.090229
2005,"NYJ",4,12,0,0,NA,"0.01",-0.124318,0.00096,-0.125278
2005,"OAK",4,12,0,0,NA,"0.01",NA,NA,NA
2005,"PHI",6,10,0,0,NA,"0.29",-0.104031,-0.028579,-0.075452
2005,"PIT",11,5,0,1,"CHMP","97.07",0.056717,-0.084921,0.141638
2005,"SD",9,7,0,0,NA,"43.96",NA,NA,NA
2005,"SEA",13,3,0,1,"SB","99.93",0.155716,-0.044953,0.200669
2005,"SF",4,12,0,0,NA,"0.01",-0.203626,0.075506,-0.279132
2005,"STL",6,10,0,0,NA,"0.29",NA,NA,NA
2005,"TB",11,5,0,1,"WC","97.07",-0.064853,-0.096065,0.031212
2005,"TEN",4,12,0,0,NA,"0.01",-0.114096,0.047165,-0.161261
2005,"WAS",10,6,0,1,"DIV","83.60",0.013647,-0.056326,0.069973
2006,"ARI",5,11,0,0,NA,"0.04",-0.046294,-0.041569,-0.004725
2006,"ATL",7,9,0,0,NA,"1.82",-0.051415,-0.007459,-0.043956
2006,"BAL",13,3,0,1,"DIV","99.93",-0.014798,-0.217238,0.20244
2006,"BUF",7,9,0,0,NA,"1.82",-0.088492,-0.041173,-0.047319
2006,"CAR",8,8,0,0,NA,"10.77",-0.070154,-0.057366,-0.012788
2006,"CHI",13,3,0,1,"SB","99.93",-0.046246,-0.174594,0.128348
2006,"CIN",8,8,0,0,NA,"10.77",0.044545,0.021776,0.022769
2006,"CLE",4,12,0,0,NA,"0.01",-0.197209,0.003113,-0.200322
2006,"DAL",9,7,0,1,"WC","43.96",0.073397,-0.009099,0.082496
2006,"DEN",9,7,0,0,NA,"43.96",-0.045103,-0.06417,0.019067
2006,"DET",3,13,0,0,NA,"0.00",-0.112426,0.025294,-0.13772
2006,"GB",8,8,0,0,NA,"10.77",-0.067251,-0.065776,-0.001475
2006,"HOU",6,10,0,0,NA,"0.29",-0.060614,0.022026,-0.08264
2006,"IND",12,4,0,1,"CHMP","99.54",0.153183,0.069061,0.084122
2006,"JAX",8,8,0,0,NA,"10.77",0.010129,-0.094797,0.104926
2006,"KC",9,7,0,1,"WC","43.96",-0.007885,-0.013503,0.005618
2006,"MIA",6,10,0,0,NA,"0.29",-0.102329,-0.089376,-0.012953
2006,"MIN",6,10,0,0,NA,"0.29",-0.154244,-0.124579,-0.029665
2006,"NE",12,4,0,1,"CON","99.54",0.064956,-0.096472,0.161428
2006,"NO",10,6,0,1,"CON","83.60",0.074205,-0.030635,0.10484
2006,"NYG",8,8,0,1,"WC","10.77",-0.019076,-0.031204,0.012128
2006,"NYJ",10,6,0,1,"WC","83.60",-0.019172,-0.017829,-0.001343
2006,"OAK",2,14,0,0,NA,"0.00",NA,NA,NA
2006,"PHI",10,6,0,1,"DIV","83.60",0.055207,-0.067916,0.123123
2006,"PIT",8,8,0,0,NA,"10.77",0.003844,-0.080436,0.08428
2006,"SD",14,2,0,1,"DIV","99.99",NA,NA,NA
2006,"SEA",9,7,0,1,"DIV","43.96",-0.073941,-0.033612,-0.040329
2006,"SF",7,9,0,0,NA,"1.82",-0.09131,0.046755,-0.138065
2006,"STL",8,8,0,0,NA,"10.77",NA,NA,NA
2006,"TB",4,12,0,0,NA,"0.01",-0.186028,0.006142,-0.19217
2006,"TEN",8,8,0,0,NA,"10.77",-0.08204,0.049346,-0.131386
2006,"WAS",5,11,0,0,NA,"0.04",-0.004365,0.109258,-0.113623
